N. MODULO FV;MODELLO;SERIALE;PALLET;PMAX;VPM;IPM;VOC;ISC;FF
92;REC320NP    ;'2007937754               ;L1244734_AAAA             ;322,513;33,64;9,58717;40,3943;10,1305;        
93;REC320NP    ;'2007937766               ;L1244734_AAAA             ;324,9576;33,777;9,62067;40,4141;10,16691;        
94;REC320NP    ;'2007937768               ;L1244734_AAAA             ;324,7496;33,8479;9,59435;40,4323;10,13453;        
95;REC320NP    ;'2007937772               ;L1244734_AAAA             ;323,5473;33,7137;9,59689;40,4271;10,15118;        
96;REC320NP    ;'2007937780               ;L1244734_AAAA             ;324,9556;33,7949;9,61549;40,4188;10,15268;        
97;REC320NP    ;'2007937784               ;L1244734_AAAA             ;324,5007;33,8011;9,60029;40,4922;10,14745;        
98;REC320NP    ;'2007937786               ;L1244734_AAAA             ;324,5671;33,7595;9,61408;40,4626;10,15946;        
99;REC320NP    ;'2007937802               ;L1244734_AAAA             ;323,5163;33,7077;9,59769;40,3902;10,15216;        
100;REC320NP    ;'2007937468               ;L1244753_AAAA             ;322,1168;33,6669;9,56775;40,4001;10,12097;        
;;;;;;;;;
;SE27600-AD  ;'SJ4619-07E17AFF1-35      ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-01238324C-C8     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-012383744-C5     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-012382D76-ED     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-0123830A1-1B     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3419A-0123601FB-44     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-012383723-A4     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-01238366B-EB     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-01238275B-CC     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-012383B94-19     ;                          ;        ;        ;        ;        ;        ;        
